Familia,RuleID,Significado real (XML v4.14.6),Ruta Kriptome,Umbral,Ventana,Correlacion,Fingerprint (case_type),Cambio material,IA,Comunicacion,Accion de tuning
Malware/IOC,99903,SSH login OK desde IP maliciosa (lvl14),CRITICAL,-,-,list malicious-ip,client+asset+IOC_LOGIN_SSH+srcip,acceso conseguido,al crear caso,inmediata + humano,keep nativa; POBLAR lista
Malware/IOC,99904,SSH login FAIL desde IP maliciosa (lvl9),CANDIDATE,-,-,list malicious-ip,client+asset+IOC_FAIL_SSH+srcip,exito posterior,al crear caso,inmediata si high,keep nativa
Malware/IOC,99919/99920,logon Windows fail/OK desde IP maliciosa (lvl9/14),CANDIDATE/CRITICAL,-,-,list malicious-ip,client+asset+IOC_LOGIN_WIN+ip,acceso conseguido,al crear caso,inmediata + humano (99920),keep nativa
Salud sensor,503,Agent started - agente reconecta (lvl3),CONTEXT,-,-,cierra AGENT_DOWN,-,reconexion (cierra caso),no,no (cierre automatico),NUEVA familia 14; VALIDADO-XML 0015-ossec
Salud sensor,504,Agent disconnected (lvl3),CANDIDATE,-,-,App vigila ademas keepalive >15min,client+asset+AGENT_DOWN+agent,sigue caido >15min / activo critico / varios agentes a la vez,no (plantilla),inmediata si asset high/critical; digest diario resto,NUEVA familia 14; VALIDADO-XML; sensor apagado = posible manipulacion o falla de servicio
Salud sensor,505,Agent removed (lvl3),CANDIDATE,-,-,-,client+asset+AGENT_REMOVED+agent,-,no (plantilla),correo para confirmar baja legitima,NUEVA familia 14; VALIDADO-XML
Salud sensor,506,Agent stopped (lvl3),CANDIDATE,-,-,-,client+asset+AGENT_DOWN+agent,igual que 504,no (plantilla),igual que 504,NUEVA familia 14; VALIDADO-XML
Correo nube M365,91556,EOP/Defender: phishing o malware en correo (lvl12),CRITICAL,-,-,-,client+asset+M365_PHISH+destinatario,usuario abrio/click posterior,al crear caso,inmediata + humano,NUEVA familia 15; PEND-INTEGRACION (wodle office365 + quitar rule_exclude 0755)
Correo nube M365,91700,malware detectado en archivo M365 (lvl14),CRITICAL,-,-,-,client+asset+M365_MALWARE+sha256,-,al crear caso,inmediata + humano,NUEVA familia 15; PEND-INTEGRACION
Correo nube M365,91589,alerta de usuario comprometido M365 (lvl7),CRITICAL,-,-,-,client+asset+M365_COMPROMISED+user,-,al crear caso,inmediata + humano + CANAL ALTERNO (telefono; no avisar por el buzon robado),NUEVA familia 15; PEND-INTEGRACION
Correo nube M365,91724,descarga masiva sospechosa por usuario (lvl10),CANDIDATE,freq100,60s,same_field office365.UserId,client+asset+M365_EXFIL+user,continua tras aviso,al crear caso,inmediata si high,NUEVA familia 15; PEND-INTEGRACION
Correo nube M365,91725,usuario recibe FullAccess en Exchange (lvl10),CANDIDATE,-,-,-,client+asset+M365_PERM+user,-,al crear caso,inmediata (confirmar con cliente),NUEVA familia 15; PEND-INTEGRACION
Correo nube M365,91545,logons STS Azure AD (lvl3),CONTEXT,-,-,alimenta futura 100050,-,login fallido repetido / geo inusual (App o custom),no,no,NUEVA familia 15; no existe regla nativa de login fallido M365 -> custom futura 100050 marcada PEND
